"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
18.50,0.97,0.24,0.00
18.60,0.99,0.24,-0.02
18.70,1.01,0.23,-0.02
18.80,1.04,0.23,-0.01
18.90,1.06,0.23,0.00
19.00,1.09,0.23,0.00
19.10,1.11,0.23,0.00
19.20,1.13,0.23,0.00
19.30,1.16,0.24,0.00
19.40,1.18,0.24,0.00
19.50,1.20,0.23,0.00
19.60,1.23,0.23,0.00
19.70,1.25,0.24,-0.01
19.80,1.27,0.23,-0.02
19.90,1.30,0.23,0.00
20.00,1.32,0.23,0.04
20.10,1.34,0.24,0.05
20.20,1.37,0.24,0.03
20.30,1.39,0.24,0.00
20.40,1.41,0.24,-3.97E-4
20.50,1.44,0.24,0.01
20.60,1.46,0.24,0.02
20.70,1.49,0.25,0.03
20.80,1.51,0.25,0.02
20.90,1.54,0.25,0.02
21.00,1.56,0.25,0.01
21.10,1.59,0.25,-0.01
21.20,1.61,0.25,-0.01
21.30,1.64,0.25,-0.01
21.40,1.66,0.25,-5.33E-4
21.50,1.69,0.25,-0.01
21.60,1.71,0.25,-0.03
21.70,1.74,0.24,-0.06
21.80,1.76,0.24,-0.08
21.90,1.79,0.22,-0.07
22.00,1.81,0.22,-0.03
22.10,1.82,0.22,0.00
22.20,1.85,0.22,-0.02
22.30,1.88,0.22,-0.04
22.40,1.89,0.21,-0.05
22.50,1.92,0.21,-0.11
22.60,1.94,0.20,-0.31
22.70,1.96,0.16,-0.66
22.80,1.97,0.07,-0.95
22.90,1.98,-0.06,-0.92
23.00,1.96,-0.15,-0.59
23.10,1.94,-0.17,-0.23
23.20,1.92,-0.17,-0.08
23.30,1.91,-0.18,-0.08
23.40,1.89,-0.19,-0.07
23.50,1.87,-0.20,-0.03
23.60,1.84,-0.20,0.03
23.70,1.83,-0.19,0.05
23.80,1.81,-0.18,0.04
23.90,1.79,-0.18,-0.01
24.00,1.78,-0.18,-0.06
24.10,1.76,-0.19,-0.07
24.20,1.74,-0.20,-0.04
24.30,1.71,-0.20,0.01
24.40,1.70,-0.20,0.03
24.50,1.68,-0.19,0.02
24.60,1.66,-0.19,-0.01
24.70,1.64,-0.20,-0.03
24.80,1.62,-0.20,-0.01
24.90,1.60,-0.20,0.00
25.00,1.58,-0.20,0.01
25.10,1.56,-0.20,0.00
25.20,1.54,-0.20,0.00
25.30,1.52,-0.20,0.00
25.40,1.50,-0.20,-0.01
25.50,1.48,-0.20,-0.01
25.60,1.46,-0.20,-0.01
25.70,1.44,-0.20,0.01
25.80,1.42,-0.20,0.01
25.90,1.40,-0.20,0.01
26.00,1.38,-0.20,0.00
26.10,1.36,-0.20,0.01
26.20,1.34,-0.20,0.02
26.30,1.32,-0.19,0.01
26.40,1.30,-0.19,0.00
26.50,1.28,-0.20,-0.01
26.60,1.26,-0.20,0.00
26.70,1.24,-0.20,0.00
26.80,1.22,-0.20,0.00
26.90,1.20,-0.20,0.00
27.00,1.18,-0.20,0.00
27.10,1.16,-0.20,8.93E-4
27.20,1.14,-0.20,0.00
27.30,1.12,-0.20,0.00
27.40,1.10,-0.20,2.04E-4
27.50,1.08,-0.20,-0.01
27.60,1.06,-0.20,-0.02
27.70,1.04,-0.20,-0.02
27.80,1.03,-0.20,-0.02
27.90,1.00,-0.20,0.00
28.00,0.98,-0.20,0.01
28.10,0.96,-0.20,0.01
28.20,0.94,-0.20,0.00
28.30,0.92,-0.20,-9.98E-4
28.40,0.90,-0.20,4.65E-4
28.50,0.89,-0.20,9.82E-4
28.60,0.87,-0.20,4.64E-5
28.70,0.85,-0.20,0.00
28.80,0.83,-0.20,0.00
28.90,0.81,-0.20,-0.01
29.00,0.79,-0.20,-0.01
29.10,0.77,-0.20,0.00
29.20,0.75,-0.20,-9.81E-4
29.30,0.73,-0.20,-1.79E-5
29.40,0.71,-0.20,9.22E-4
29.50,0.69,-0.20,0.00
29.60,0.67,-0.20,0.00
